Date,Open,High,Low,Close,Adj Close,Volume
2016-05-05,139.551239,140.842087,139.073181,146.470001,140.048462,6501200
2016-05-06,139.845703,142.848068,139.469223,147.289993,142.191605,4880300
2016-05-09,142.587402,143.070084,141.921295,147.339996,142.239883,4302400
2016-05-10,143.108719,144.846420,142.626038,149.970001,144.778824,3992700
2016-05-11,144.527832,145.860062,143.591400,148.949997,143.794144,3093000
2016-05-12,144.045151,144.218918,142.017838,148.839996,143.687958,3249200
2016-05-13,143.639679,144.672653,142.317093,147.720001,142.606735,2398000
2016-05-16,142.539139,144.798157,142.336411,149.460007,144.286484,3069100
2016-05-17,144.045151,144.325119,142.191605,148.000000,142.877029,3490600
2016-05-18,142.867371,143.379028,141.293793,147.339996,142.239883,2491100
2016-05-19,141.409637,141.844055,138.976883,144.929993,139.913284,3685600
2016-05-20,140.666306,142.403992,140.511841,147.250000,142.152985,3671500
2016-05-23,142.500534,142.828766,141.583420,146.770004,141.689621,2103800
2016-05-24,141.795792,143.601059,141.795792,148.309998,143.176300,2929300
2016-05-25,143.774826,146.825455,143.359726,151.690002,146.439301,4355300
2016-05-26,146.304153,147.230911,145.821472,152.440002,147.163345,3062900
2016-05-27,147.076462,147.636368,146.883377,152.839996,147.549484,2422100
2016-05-31,147.279190,148.485901,146.999237,153.740005,148.418350,5836600
2016-06-01,147.703964,147.964615,146.294479,152.509995,147.230911,2663400
2016-06-02,147.308151,148.186646,146.854401,153.500000,148.186646,2642600
2016-06-03,147.124725,147.742554,146.448944,152.889999,147.597778,2314800
2016-06-06,147.790833,148.621063,147.066788,152.729996,147.443283,2378700
2016-06-07,148.003220,148.601761,147.375732,153.330002,148.022552,4465000
2016-06-08,148.215607,148.756226,147.742554,154.000000,148.669342,2935000
2016-06-09,147.626724,148.437637,147.443283,153.419998,148.109406,2021800
2016-06-10,147.501221,148.022552,146.603409,152.369995,147.095749,3120600
2016-06-13,146.381393,147.221268,145.078110,151.279999,146.043488,3610400
2016-06-14,146.043488,146.535828,145.193939,151.059998,145.831131,2865800
2016-06-15,146.217255,146.535828,145.387039,150.679993,145.464249,2260400
2016-06-16,144.991226,146.053116,143.842422,151.059998,145.831131,2449100
2016-06-17,145.734573,147.433655,145.387039,151.990005,146.728928,4663900
2016-06-20,147.317810,149.316147,147.240570,153.610001,148.292847,3572100
2016-06-21,148.823822,149.219604,148.370071,154.050003,148.717621,2760300
2016-06-22,148.427994,149.354782,146.999237,152.919998,147.626724,2833700
2016-06-23,148.138367,150.098114,147.317810,155.350006,149.972610,3969400
2016-06-24,144.778824,145.396698,141.120026,146.589996,141.515839,9082800
2016-06-27,141.120026,141.525482,137.567413,143.500000,138.532791,5017900
2016-06-28,139.768494,140.685608,139.227875,145.699997,140.656631,3997700
2016-06-29,141.428940,143.340408,141.380692,148.460007,143.321121,3367700
2016-06-30,143.707260,146.651688,143.523849,151.779999,146.526199,3967100
2016-07-01,146.526199,147.675003,146.159332,152.350006,147.076462,2658300
2016-07-05,145.956619,146.738586,145.541489,151.679993,146.429642,2465200
2016-07-06,146.593750,147.134384,144.730560,152.369995,147.095749,2569400
2016-07-07,147.462601,148.370071,146.632385,152.600006,147.317810,2138400
2016-07-08,148.669342,149.248581,147.781189,154.460007,149.113434,3040600
2016-07-11,149.248581,150.638733,149.152023,155.330002,149.953308,2833700
2016-07-12,150.600098,151.681335,150.136734,157.039993,151.604111,3843800
2016-07-13,152.289536,152.859100,151.623428,158.020004,152.550201,2746400
2016-07-14,153.312851,155.813187,153.090820,160.279999,154.731964,4637600
2016-07-15,154.365112,154.442352,153.013565,159.779999,154.249268,4476800
2016-07-18,153.785889,155.185699,153.235596,159.860001,154.326492,6729700
2016-07-19,156.180038,156.527588,152.424683,159.580002,154.056198,7120000
2016-07-20,154.432709,156.112457,154.075500,161.360001,155.774597,4376300
2016-07-21,155.185699,156.247635,154.355453,160.449997,154.896057,3518900
2016-07-22,155.214661,156.556534,154.925034,162.070007,156.460007,2520100
2016-07-25,156.392410,157.241974,156.151093,162.649994,157.019913,2804600
2016-07-26,157.019913,157.937042,155.784225,162.119995,156.508270,2894600
2016-07-27,156.508270,156.942703,155.600815,161.830002,156.228302,2162700
2016-07-28,155.793869,156.209000,155.147079,161.369995,155.784225,2340400
2016-07-29,155.774597,156.073853,154.490616,160.619995,155.060181,3547500
2016-08-01,155.089142,156.054520,154.307190,161.449997,155.861450,2823600
2016-08-02,155.687683,155.861450,154.809204,160.580002,155.021591,3080900
2016-08-03,154.587158,155.291885,154.268585,160.669998,155.108459,2861700
2016-08-04,155.291885,156.102814,154.577484,161.550003,155.958008,2489100
2016-08-05,156.392410,157.850159,155.977325,163.500000,157.840515,3812400
2016-08-08,158.453949,158.979752,157.334167,162.039993,157.782059,3039300
2016-08-09,157.957336,158.492889,157.402328,161.770004,157.519180,2737500
2016-08-10,157.928146,158.385788,157.704178,162.080002,157.821045,2466700
2016-08-11,157.986557,160.615616,157.918396,163.529999,159.232925,8768600
2016-08-12,158.901871,159.164764,157.275757,161.949997,157.694443,2543100
2016-08-15,158.132614,158.687637,157.528915,161.880005,157.626282,2970400
2016-08-16,156.876511,157.674957,156.467560,160.699997,156.477295,2210200
2016-08-17,156.740189,156.925217,155.639877,160.440002,156.224121,3225900
2016-08-18,156.662292,157.743134,156.224121,161.360001,157.119949,3652000
2016-08-19,156.613617,156.681778,155.328293,160.039993,155.834625,2815200
2016-08-22,155.795685,156.350708,154.948563,160.000000,155.795685,2039300
2016-08-23,156.117004,157.100479,156.019638,160.259995,156.048843,2838100
2016-08-24,155.688583,155.970947,154.159836,159.050003,154.870651,3645800
2016-08-25,154.821960,155.347763,154.257202,158.630005,154.461685,2575000
2016-08-26,154.705109,156.224121,153.702179,158.320007,154.159836,2498900
2016-08-29,154.656433,156.000168,154.335098,159.720001,155.523041,2475900
2016-08-30,155.561996,155.941742,154.636948,159.399994,155.211441,1813300
2016-08-31,155.464615,155.464615,154.101395,158.880005,154.705109,2323600
2016-09-01,154.159836,155.425659,153.945633,159.539993,155.347763,2358400
2016-09-02,155.678848,156.350708,154.968018,159.550003,155.357513,2315400
2016-09-06,155.678848,156.633072,154.929077,160.350006,156.136490,2994100
2016-09-07,155.980698,157.509430,155.795685,161.639999,157.392593,2867300
2016-09-08,156.331223,156.973892,154.588257,159.000000,154.821960,3963200
2016-09-09,153.877441,154.237732,151.559982,155.690002,151.598953,5186000
2016-09-12,151.180237,154.364319,150.771271,158.289993,154.130615,4367500
2016-09-13,153.487976,153.780075,151.413925,155.809998,151.715775,3636700
2016-09-14,151.608673,151.774216,149.359375,154.050003,150.002029,3860600
2016-09-15,150.245468,152.222107,149.184113,155.660004,151.569733,3645600
2016-09-16,150.966019,151.316544,149.437286,153.839996,149.797546,6463600
2016-09-19,150.800476,152.085800,150.488892,154.869995,150.800476,2450100
2016-09-20,151.774216,152.455811,150.391510,154.449997,150.391510,2159100
2016-09-21,150.839432,151.589188,149.826767,155.529999,151.443146,2473900
2016-09-22,152.046844,153.088730,151.598953,156.110001,152.007904,2691100
2016-09-23,151.530777,151.939728,150.644699,154.979996,150.907593,2702200
2016-09-26,150.401260,150.401260,149.427536,153.979996,149.933868,2533300
2016-09-27,150.264954,152.650558,149.768326,156.770004,152.650558,2987200
2016-09-28,152.864792,154.461685,152.124725,158.289993,154.130615,3310000
2016-09-29,154.461685,160.664291,153.322449,158.110001,153.955353,3374800
2016-09-30,154.724579,155.639877,153.906662,158.850006,154.675903,3596900
2016-10-03,153.906662,154.208511,152.893997,157.610001,153.468475,2227800
2016-10-04,153.526917,154.364319,151.725525,156.460007,152.348709,2884100
2016-10-05,152.942673,153.682709,152.601883,157.080002,152.952408,1684500
2016-10-06,152.718719,153.293198,151.793686,156.880005,152.757660,1950100
2016-10-07,153.010834,153.556107,150.790741,155.669998,151.579453,2671900
2016-10-10,152.592148,154.325363,152.543442,157.020004,152.893997,2481300
2016-10-11,152.611618,152.825821,149.846237,154.789993,150.722580,2901300
2016-10-12,150.897858,150.897858,149.057510,154.289993,150.235718,2964000
2016-10-13,149.661224,150.167557,148.268814,153.720001,149.680695,2909900
2016-10-14,150.410995,151.443146,150.040970,154.449997,150.391510,4358200
2016-10-17,150.391510,151.793686,150.284409,154.770004,150.703110,5890400
2016-10-18,146.077927,147.032181,143.906525,150.720001,146.759537,12770600
2016-10-19,147.295090,148.444077,146.866653,151.259995,147.285355,4632900
2016-10-20,147.304810,148.882233,147.051651,151.520004,147.538513,4023100
2016-10-21,146.623199,147.178238,145.630005,149.630005,145.698181,4414200
2016-10-24,146.447937,147.538513,146.447937,150.570007,146.613480,2666700
2016-10-25,146.613480,147.187988,145.892914,150.880005,146.915329,2647500
2016-10-26,146.749802,148.921204,146.311615,151.809998,147.820892,2811700
2016-10-27,148.804367,150.011765,148.025375,153.350006,149.320435,4229300
2016-10-28,150.002029,150.381775,148.181168,152.610001,148.599869,3654500
2016-10-31,148.745911,150.274673,148.745911,153.690002,149.651505,3553200
2016-11-01,149.466476,149.865707,147.752731,152.789993,148.775131,3191900
2016-11-02,148.473282,149.320435,147.684570,151.949997,147.957199,3074400
2016-11-03,148.502487,149.700195,147.811157,152.369995,148.366180,2878800
2016-11-04,148.395386,149.602798,147.879303,152.429993,148.424576,2470400
2016-11-07,149.943619,152.007904,149.797546,155.720001,151.628143,3804900
2016-11-08,151.863953,153.210052,150.390121,155.169998,152.463318,3921900
2016-11-09,150.291870,152.846512,148.366058,154.809998,152.109589,5403700
2016-11-10,154.909882,158.348846,154.841095,160.220001,157.425232,7715800
2016-11-11,157.179581,158.525681,156.550751,161.270004,158.456909,4446600
2016-11-14,158.437256,159.036621,154.831284,158.210007,155.450287,5196500
2016-11-15,155.656616,156.373886,154.801804,158.669998,155.902267,3477000
2016-11-16,155.695938,156.766907,155.273438,159.289993,156.511444,2252800
2016-11-17,156.442673,157.140274,156.079132,159.800003,157.012558,2261200
2016-11-18,157.012558,157.916504,156.432846,160.389999,157.592255,2981600
2016-11-21,157.887024,160.156738,157.572617,162.770004,159.930756,4637100
2016-11-22,160.156738,160.156738,159.125046,162.669998,159.832489,2770800
2016-11-23,159.115234,159.547546,158.545349,161.979996,159.154526,2252700
2016-11-25,159.007141,160.343430,159.007141,163.139999,160.294296,1605300
2016-11-28,160.353241,161.787781,159.861969,164.520004,161.650223,4449400
2016-11-29,161.139297,161.542145,160.186203,163.529999,160.677490,3148200
2016-11-30,160.500641,160.942780,159.380524,162.220001,159.390350,4397800
2016-12-01,159.125046,159.370682,155.538727,159.820007,157.032227,4635700
2016-12-02,156.226501,157.494003,155.646790,160.020004,157.228729,2740900
2016-12-05,158.044250,158.339005,156.806213,159.839996,157.051849,3447100
2016-12-06,157.336807,157.985275,156.157715,160.350006,157.552963,2859000
2016-12-07,157.798615,162.298706,157.592255,164.789993,161.915497,4435100
2016-12-08,161.994110,163.104401,161.355453,165.360001,162.475571,3266400
2016-12-09,162.298706,163.811844,161.728836,166.520004,163.615341,3146900
2016-12-12,163.811844,163.880615,162.190628,165.500000,162.613129,3392300
2016-12-13,162.789978,166.985489,162.789978,168.289993,165.354462,5932300
2016-12-14,165.433060,166.926544,164.529114,168.509995,165.570618,4124200
2016-12-15,165.079346,166.887253,164.853348,168.020004,165.089172,3388600
